Obs;Make;Model;Cylinders;Horsepower;MPG_City;MPG_Highway;Weight;Wheelbase;Year;Milage;Regnr
329;Pontiac;GTO 2dr;8;340;16;20;3725;110;2005;49251;AA03302
330;Pontiac;Vibe;4;130;29;36;2701;102;2006;61564;CC13310
331;Porsche;Cayenne S;8;340;14;18;4950;112;2007;73879;AH23321
332;Porsche;911 Carrera convertible 2dr (coupe);6;315;18;26;3135;93;2008;86196;CA33332
333;Porsche;911 Carrera 4S coupe 2dr (convert);6;315;17;24;3240;93;2009;98515;AC43340
334;Porsche;911 Targa coupe 2dr;6;315;18;26;3119;93;2010;19;CH03351
335;Porsche;911 GT2 2dr;6;477;17;24;3131;93;2011;12333;AA13362
336;Porsche;Boxster convertible 2dr;6;228;20;29;2811;95;2012;24649;CC23370
337;Porsche;Boxster S convertible 2dr;6;258;18;26;2911;95;2013;36967;AH33381
338;Saab;9-3 Arc Sport 4dr;4;210;20;28;3175;105;2014;49287;CA43392
339;Saab;9-3 Aero 4dr;4;210;20;28;3175;105;2015;61609;AC03400
340;Saab;9-5 Arc 4dr;4;220;21;29;3470;106;2016;73933;CH13411
341;Saab;9-5 Aero 4dr;4;250;21;29;3470;106;1977;86259;AA23422
342;Saab;9-3 Arc convertible 2dr;4;210;21;29;3480;105;1978;98587;CC33430
343;Saab;9-3 Aero convertible 2dr;4;210;21;30;3700;105;1979;19;AH43441
344;Saab;9-5 Aero;4;250;19;29;3620;106;1980;12342;CA03452
345;Saturn;VUE;4;143;21;26;3381;107;1981;24667;AC13460
346;Saturn;Ion1 4dr;4;140;26;35;2692;103;1982;36994;CH23471
347;Saturn;lon2 4dr;4;140;26;35;2692;103;1983;49323;AA33482
348;Saturn;lon3 4dr;4;140;26;35;2692;103;1984;61654;CC43490
349;Saturn;lon2 quad coupe 2dr;4;140;26;35;2751;103;1985;73987;AH03501
350;Saturn;lon3 quad coupe 2dr;4;140;26;35;2751;103;1986;86322;CA13512
351;Saturn;L300-2 4dr;6;182;20;28;3197;107;1987;98659;AC23520
352;Saturn;L300 2;4;140;24;34;3109;107;1988;19;CH33531
353;Scion;xA 4dr hatch;4;108;32;38;2340;93;1989;12351;AA43542
354;Scion;xB;4;108;31;35;2425;98;1990;24685;CC03550
355;Subaru;Impreza 2.5 RS 4dr;4;165;22;28;2965;99;1991;37021;AH13561
356;Subaru;Legacy L 4dr;4;165;21;28;3285;104;1992;49359;CA23572
357;Subaru;Legacy GT 4dr;4;165;21;28;3395;104;1993;61699;AC33580
358;Subaru;Outback Limited Sedan 4dr;4;165;20;27;3495;104;1994;74041;CH43591
359;Subaru;Outback H6 4dr;6;212;19;26;3610;104;1995;86385;AA03602
360;Subaru;Outback H-6 VDC 4dr;6;212;19;26;3630;104;1996;98731;CC13610
361;Subaru;Impreza WRX 4dr;4;227;20;27;3085;99;1997;19;AH23621
362;Subaru;Impreza WRX STi 4dr;4;300;18;24;3263;100;1998;12360;CA33632
363;Subaru;Baja;4;165;21;28;3485;104;1999;24703;AC43640
364;Subaru;Forester X;4;165;21;28;3090;99;2000;37048;CH03651
365;Subaru;Outback;4;165;21;28;3430;104;2001;49395;AA13662
366;Suzuki;XL-7 EX;6;185;18;22;3682;110;2002;61744;CC23670
367;Suzuki;Vitara LX;6;165;19;22;3020;98;2003;74095;AH33681
368;Suzuki;Aeno S 4dr;4;155;25;31;2676;98;2004;86448;CA43692
369;Suzuki;Aerio LX 4dr;4;155;25;31;2676;98;2005;98803;AC03700
370;Suzuki;Forenza S 4dr;4;119;24;31;2701;102;2006;19;CH13711
371;Suzuki;Forenza EX 4dr;4;119;22;30;2756;102;2007;12369;AA23722
372;Suzuki;Verona LX 4dr;6;155;20;27;3380;106;2008;24721;CC33730
373;Suzuki;Aerio SX;4;155;24;29;2932;98;2009;37075;AH43741
374;Toyota;Prius 4dr (gas/electric);4;110;59;51;2890;106;2010;49431;CA03752
375;Toyota;Sequoia SR5;8;240;14;17;5270;118;2011;61789;AC13760
376;Toyota;4Runner SR5 V6;6;245;18;21;4035;110;2012;74149;CH23771
377;Toyota;Highlander V6;6;230;18;24;3935;107;2013;86511;AA33782
378;Toyota;Land Cruiser;8;325;13;17;5390;112;2014;98875;CC43790
379;Toyota;RAV4;4;161;22;27;3119;98;2015;19;AH03801
380;Toyota;Corolla CE 4dr;4;130;32;40;2502;102;2016;12378;CA13812
381;Toyota;Corolla S 4dr;4;130;32;40;2524;102;1977;24739;AC23820
382;Toyota;Corolla LE 4dr;4;130;32;40;2524;102;1978;37102;CH33831
383;Toyota;Echo 2dr manual;4;108;35;43;2035;93;1979;49467;AA43842
384;Toyota;Echo 2dr auto;4;108;33;39;2085;93;1980;61834;CC03850
385;Toyota;Echo 4dr;4;108;35;43;2055;93;1981;74203;AH13861
386;Toyota;Camry LE 4dr;4;157;24;33;3086;107;1982;86574;CA23872
387;Toyota;Camry LE V6 4dr;6;210;21;29;3296;107;1983;98947;AC33880
388;Toyota;Camry Solara SE 2dr;4;157;24;33;3175;107;1984;19;CH43891
389;Toyota;Camry Solara SE V6 2dr;6;225;20;29;3417;107;1985;12387;AA03902
390;Toyota;Avalon XL 4dr;6;210;21;29;3417;107;1986;24757;CC13910
391;Toyota;Camry XLE V6 4dr;6;210;21;29;3362;107;1987;37129;AH23921
392;Toyota;Camry Solara SLE V6 2dr;6;225;20;29;3439;107;1988;49503;CA33932
393;Toyota;Avalon XLS 4dr;6;210;21;29;3439;107;1989;61879;AC43940
394;Toyota;Sienna CE;6;230;19;27;4120;119;1990;74257;CH03951
395;Toyota;Sienna XLE Limited;6;230;19;27;4165;119;1991;86637;AA13962
396;Toyota;Celica GT-S 2dr;4;180;24;33;2500;102;1992;99019;CC23970
397;Toyota;MR2 Spyder convertible 2dr;4;138;26;32;2195;97;1993;19;AH33981
398;Toyota;Tacoma;4;142;22;27;2750;103;1994;12396;CA43992
399;Toyota;Tundra Regular Cab V6;6;190;16;18;3925;128;1995;24775;AC04000
400;Toyota;Tundra Access Cab V6 SR5;6;190;14;17;4435;128;1996;37156;CH14011
401;Toyota;Matrix XR;4;130;29;36;2679;102;1997;49539;AA24022
402;Volkswagen;Touareg V6;6;220;15;20;5086;112;1998;61924;CC34030
403;Volkswagen;Golf GLS 4dr;4;115;24;31;2897;99;1999;74311;AH44041
404;Volkswagen;GTI 1.8T 2dr hatch;4;180;24;31;2934;99;2000;86700;CA04052
405;Volkswagen;Jetta GLS TDI 4dr;4;100;38;46;3003;99;2001;99091;AC14060
406;Volkswagen;New Beetle GLS 1.8T 2dr;4;150;24;31;2820;99;2002;19;CH24071
407;Volkswagen;Jetta GLI VR6 4dr;6;200;21;30;3179;99;2003;12405;AA34082
408;Volkswagen;New Beetle GLS convertible 2dr;4;115;24;30;3082;99;2004;24793;CC44090
409;Volkswagen;Passat GLS 4dr;4;170;22;31;3241;106;2005;37183;AH04101
410;Volkswagen;Passat GLX V6 4MOTION 4dr;6;190;19;26;3721;106;2006;49575;CA14112
411;Volkswagen;Passat W8 4MOTION 4dr;8;270;18;25;3953;106;2007;61969;AC24120
412;Volkswagen;Phaeton 4dr;8;335;16;22;5194;118;2008;74365;CH34131
413;Volkswagen;Phaeton W12 4dr;12;420;12;19;5399;118;2009;86763;AA44142
414;Volkswagen;Jetta GL;4;115;24;30;3034;99;2010;99163;CC04150
415;Volkswagen;Passat GLS 1.8T;4;170;22;31;3338;106;2011;19;AH14161
416;Volkswagen;Passat W8;8;270;18;25;4067;106;2012;12414;CA24172
417;Volvo;XC90 T6;6;268;15;20;4638;113;2013;24811;AC34180
418;Volvo;S40 4dr;4;170;22;29;2767;101;2014;37210;CH44191
419;Volvo;S60 2.5 4dr;5;208;20;27;3903;107;2015;49611;AA04202
420;Volvo;S60 T5 4dr;5;247;20;28;3766;107;2016;62014;CC14210
421;Volvo;S60 R 4dr;5;300;18;25;3571;107;1977;74419;AH24221
422;Volvo;S80 2.9 4dr;6;208;20;28;3576;110;1978;86826;CA34232
423;Volvo;S80 2.5T 4dr;5;194;20;27;3691;110;1979;99235;AC44240
424;Volvo;C70 LPT convertible 2dr;5;197;21;28;3450;105;1980;19;CH04251
425;Volvo;C70 HPT convertible 2dr;5;242;20;26;3450;105;1981;12423;AA14262
426;Volvo;S80 T6 4dr;6;268;19;26;3653;110;1982;24829;CC24270
427;Volvo;V40;4;170;22;29;2822;101;1983;37237;AH34281
428;Volvo;XC70;5;208;20;27;3823;109;1984;49647;CA44292
